City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
334,Banda Aceh,ID,5.56,95.32,80.94,77,100,8.5,light rain
335,Gornja Radgona,SI,46.67,15.99,68.0,45,0,3.36,clear sky
336,Handan,CN,36.6,114.47,55.96,34,0,2.35,clear sky
337,Emerald,AU,-23.53,148.17,71.6,30,0,10.29,light rain
338,Kahului,US,20.89,-156.47,78.8,65,40,8.05,scattered clouds
339,Kalofer,BG,42.62,24.98,62.6,51,75,18.34,broken clouds
340,Kyzyl-Suu,KG,42.34,78.01,37.18,62,0,8.3,clear sky
341,Gladstone,AU,-23.85,151.25,75.2,83,75,8.05,broken clouds
342,Port Hardy,CA,50.7,-127.42,46.4,100,75,2.24,broken clouds
343,Sovetskiy,RU,61.36,63.58,33.53,97,65,6.62,broken clouds
344,Kyabe,TD,9.45,18.94,92.89,37,53,3.15,broken clouds
345,Qasigiannguit,GL,68.82,-51.19,15.8,72,75,4.7,broken clouds
346,Mapiri,BO,-15.25,-68.17,74.8,45,97,2.01,overcast clouds
347,Akyab,MM,20.15,92.9,81.18,78,100,3.04,moderate rain
348,Hirara,JP,24.8,125.28,77.81,71,0,21.21,clear sky
349,Waipawa,NZ,-41.41,175.52,60.8,72,14,14.99,few clouds
350,Siyana,IN,28.63,78.06,73.69,32,0,3.87,clear sky
351,Maxixe,MZ,-23.86,35.35,77.41,65,3,15.01,clear sky
352,Pa Sang,TH,18.53,98.94,77.0,88,40,3.36,scattered clouds
353,Cedar City,US,37.68,-113.06,32.0,45,1,1.61,clear sky
354,Mahon,ES,39.89,4.27,68.0,68,0,8.05,clear sky
355,Mayo,US,38.89,-76.51,46.0,75,90,6.93,overcast clouds
356,Mount Isa,AU,-20.73,139.5,71.6,19,0,14.65,clear sky
357,Doboz,HU,46.73,21.25,52.0,75,8,3.0,clear sky
358,Iracoubo,GF,5.48,-53.2,86.04,69,99,11.59,overcast clouds
359,Avera,US,33.19,-82.53,53.6,62,90,10.29,overcast clouds
360,Shihezi,CN,44.3,86.03,40.66,62,0,3.76,clear sky
361,Tiznit,MA,29.58,-9.5,81.57,16,0,13.04,clear sky
362,Kamaishi,JP,39.27,141.88,49.96,70,0,6.38,clear sky
363,Bima,ID,-8.47,118.72,77.29,73,71,0.87,light rain
364,Phan Thiet,VN,10.93,108.1,78.01,86,58,7.31,broken clouds
